tävling,datum,typ,vikt,böj,bänk,mark,total,poäng,namn,förening,distrikt,kön,år,viktklass,elit
Div 4 herr KL SL,2019-02-17,KSL,80.95,135.0,95.0,182.5,412.5,279.54,Frej Eklind,Järfälla AK,Östra Svealands SDF,M,2019.0,83,False
Div 3 dam SL klassisk,2020-09-05,KSL,77.95,127.5,75.0,135.0,337.5,313.43,Linda Hansen,Järfälla AK,Östra Svealands SDF,F,2020.0,84,False
Allsvenskan dam KL SL,2019-11-17,KSL,70.86,117.5,67.5,130.0,315.0,310.77,Linda Hansen,Järfälla AK,Östra Svealands SDF,F,2019.0,76,False
Allsvenskan dam KL SL,2019-09-15,KSL,71.5,115.0,70.0,125.0,310.0,303.98,Linda Hansen,Järfälla AK,Östra Svealands SDF,F,2019.0,76,False
Allsvenskan dam KL SL,2019-05-05,KSL,67.55,107.5,60.0,122.5,290.0,295.82,Linda Hansen,Järfälla AK,Östra Svealands SDF,F,2019.0,69,False
Allsvenskan dam KL SL,2019-02-17,KSL,65.95,102.5,57.5,112.5,272.5,282.84,Linda Hansen,Järfälla AK,Östra Svealands SDF,F,2019.0,69,False
Elitserien dam KL SL,2019-02-16,KSL,54.6,120.0,70.0,152.5,342.5,411.06,Frida Ulfves,Sundsvalls AK,Mellersta Norrlands SDF,F,2019.0,57,False
SM Styrkelyft klassisk,2022-03-24,KSL,57.1,150.0,85.0,190.0,425.0,379.68,Tan Hoang,Göteborgs SK,Västra Götaland SDF,M,2022.0,66,True
DM Styrkelyft klassisk VGSF,2021-10-22,KSL,57.6,142.5,82.5,200.0,425.0,376.53,Tan Hoang,Göteborgs SK,Västra Götaland SDF,M,2021.0,66,False
Div 5 herr KL SL,2019-02-17,KSL,57.52,140.0,82.5,192.5,415.0,368.16,Tan Hoang,Göteborgs SK,Västra Götaland SDF,M,2019.0,66,False
DM Klassisk Styrkelyft ÖSSF,2019-11-16,KSL,76.64,160.0,100.0,190.0,450.0,315.94,Emil Wetterqvist,Upsala TK,Östra Svealands SDF,M,2019.0,83,False
Elitserien herr KL SL,2019-05-04,KSL,76.9,145.0,90.0,190.0,425.0,297.7,Emil Wetterqvist,Upsala TK,Östra Svealands SDF,M,2019.0,83,False
Elitserien herr KL SL,2019-02-17,KSL,76.4,137.5,85.0,190.0,412.5,290.22,Emil Wetterqvist,Upsala TK,Östra Svealands SDF,M,2019.0,83,False
Div 5 herr KL SL,2019-09-15,KSL,102.34,180.0,0.0,230.0,410.0,247.29,Joakim Strannerdahl,Göteborgs SK,Västra Götaland SDF,M,2019.0,105,False
Div 5 herr KL SL,2019-02-17,KSL,103.82,180.0,120.0,220.0,520.0,311.98,Joakim Strannerdahl,Göteborgs SK,Västra Götaland SDF,M,2019.0,105,False
Div 5 herr SL klassisk,2020-09-20,KSL,116.74,250.0,175.0,275.0,700.0,405.15,Anthony Karlsson-Holm,Göteborgs SK,Västra Götaland SDF,M,2020.0,120,False
Div 4 herr SL klassisk,2020-01-26,KSL,113.4,242.5,165.0,270.0,677.5,395.17,Anthony Karlsson-Holm,Göteborgs SK,Västra Götaland SDF,M,2020.0,120,False
Div 5 herr KL SL,2019-11-11,KSL,109.9,220.0,157.5,255.0,632.5,372.33,Anthony Karlsson-Holm,Göteborgs SK,Västra Götaland SDF,M,2019.0,120,False
Div 5 herr KL SL,2019-09-15,KSL,102.64,205.0,140.0,240.0,585.0,352.46,Anthony Karlsson-Holm,Göteborgs SK,Västra Götaland SDF,M,2019.0,105,False
Div 5 herr KL SL,2019-02-17,KSL,106.32,215.0,140.0,260.0,615.0,365.92,Anthony Karlsson-Holm,Göteborgs SK,Västra Götaland SDF,M,2019.0,120,False
Juniorserien herr SL klassisk,2020-01-29,KSL,63.5,157.5,110.0,195.0,462.5,375.13,Johan Thyr,Upsala TK,Östra Svealands SDF,M,2020.0,66,False
Elitserien herr KL SL,2019-09-14,KSL,63.35,157.5,105.0,185.0,447.5,363.7,Johan Thyr,Upsala TK,Östra Svealands SDF,M,2019.0,66,False
Elitserien herr KL SL,2019-05-04,KSL,62.65,142.5,110.0,185.0,437.5,359.02,Johan Thyr,Upsala TK,Östra Svealands SDF,M,2019.0,66,False
Elitserien herr KL SL,2019-02-17,KSL,61.25,130.0,105.0,170.0,405.0,339.04,Johan Thyr,Upsala TK,Östra Svealands SDF,M,2019.0,66,False
Enbart ranking herr BP klassisk,2021-12-06,KBP,88.25,0.0,147.5,0.0,147.5,95.13,Jonathan  Eriksson,Hallsbergs AK,Västra Svealands SDF,M,2021.0,93,False
Enbart ranking herr SL klassisk,2021-10-24,KSL,87.7,155.0,145.0,180.0,480.0,310.6,Jonathan  Eriksson,Hallsbergs AK,Västra Svealands SDF,M,2021.0,93,False
Enbart ranking herr BP klassisk,2021-09-19,KBP,89.8,0.0,150.0,0.0,150.0,95.87,Jonathan  Eriksson,Hallsbergs AK,Västra Svealands SDF,M,2021.0,93,False
Ungdoms SM Klassisk Bänkpress,2020-02-14,KBP,84.56,0.0,110.0,0.0,110.0,72.63,Jonathan  Eriksson,Hallsbergs AK,Västra Svealands SDF,M,2020.0,93,True
Div 5 herr SL klassisk,2020-02-01,KSL,83.9,120.0,107.5,162.5,390.0,258.68,Jonathan  Eriksson,Hallsbergs AK,Västra Svealands SDF,M,2020.0,93,False
DM Styrkelyft Klassiskt VSSF,2019-11-09,KSL,80.15,100.0,100.0,140.0,340.0,231.84,Jonathan  Eriksson,Hallsbergs AK,Västra Svealands SDF,M,2019.0,83,False
Enbart ranking herr KL BP,2019-09-15,KBP,80.5,0.0,92.5,0.0,92.5,62.9,Jonathan  Eriksson,Hallsbergs AK,Västra Svealands SDF,M,2019.0,83,False
Enbart ranking herr KL BP,2019-02-17,KBP,75.2,0.0,35.0,0.0,35.0,24.89,Jonathan  Eriksson,Hallsbergs AK,Västra Svealands SDF,M,2019.0,83,False
Junior SM Klassisk Styrkelyft,2020-02-14,KSL,61.77,102.5,50.0,145.0,297.5,324.33,Sanna Brodin,Fyshuset Sportklubb Gefle,Södra Norrlands SDF,F,2020.0,63,True
Enbart ranking dam KL SL,2019-11-19,KSL,61.7,95.0,50.0,140.0,285.0,310.98,Sanna Brodin,Fyshuset Sportklubb Gefle,Södra Norrlands SDF,F,2019.0,63,False
Div 1 dam KL SL,2019-05-11,KSL,61.48,82.5,45.0,132.5,260.0,284.48,Sanna Brodin,Fyshuset Sportklubb Gefle,Södra Norrlands SDF,F,2019.0,63,False
Enbart ranking herr SL klassisk,2020-02-02,KSL,88.2,190.0,132.5,207.5,530.0,341.92,Johannes Jönsson,Waggeryds AK,Sydöstra SDF,M,2020.0,93,False
Enbart ranking herr KL SL,2019-09-16,KSL,83.1,185.0,125.0,192.5,502.5,335.18,Johannes Jönsson,Waggeryds AK,Sydöstra SDF,M,2019.0,93,False
Enbart ranking herr KL SL,2019-05-07,KSL,81.55,160.0,117.5,180.0,457.5,308.64,Johannes Jönsson,Waggeryds AK,Sydöstra SDF,M,2019.0,83,False
Div 5 herr KL SL,2019-11-11,KSL,80.6,175.0,85.0,185.0,445.0,302.38,Marcus Melin,Forshaga AK,Västra Svealands SDF,M,2019.0,83,False
Div 5 herr KL SL,2019-05-12,KSL,79.4,160.0,80.0,160.0,400.0,274.39,Marcus Melin,Forshaga AK,Västra Svealands SDF,M,2019.0,83,False
Div 2 dam KL SL,2019-05-04,KSL,62.9,65.0,45.0,87.5,197.5,212.36,Danielle Brännvall,Södra SK,Östra Svealands SDF,F,2019.0,63,False
Allsvenskan herr BP klassisk,2020-02-01,KBP,82.75,0.0,120.0,0.0,120.0,80.24,Felix Lindström,Stockholms AK,Östra Svealands SDF,M,2020.0,83,False
Div 2 herr KL SL,2019-09-15,KSL,81.85,170.0,120.0,170.0,460.0,309.63,Felix Lindström,Stockholms AK,Östra Svealands SDF,M,2019.0,83,False
DM Klassisk Bänkpress ÖSSF,2019-09-07,KBP,81.65,0.0,122.5,0.0,122.5,82.58,Felix Lindström,Stockholms AK,Östra Svealands SDF,M,2019.0,83,False
Div 2 herr KL BP,2019-05-04,KBP,78.65,0.0,110.0,0.0,110.0,75.92,Felix Lindström,Stockholms AK,Östra Svealands SDF,M,2019.0,83,False
DM Klassisk Styrkelyft ÖSSF,2019-11-16,KSL,86.61,130.0,75.0,150.0,355.0,311.95,Daniella Karlsson,Huddinge SK,Östra Svealands SDF,F,2019.0,85,False
Enbart ranking dam KL SL,2019-05-04,KSL,86.95,110.0,70.0,140.0,320.0,280.69,Daniella Karlsson,Huddinge SK,Östra Svealands SDF,F,2019.0,85,False
Enbart ranking herr KL BP,2019-05-13,KBP,76.2,0.0,130.0,0.0,130.0,91.63,Joni Nikander,Visby Styrkeklubb,Sydöstra SDF,M,2019.0,83,False
Elitserien herr SL klassisk,2020-02-02,KSL,103.72,212.5,0.0,215.0,427.5,256.57,Petter Larsson,Borlänge AK,Södra Norrlands SDF,M,2020.0,105,False
DM Klassisk Styrkelyft SNSF,2019-09-14,KSL,103.15,200.0,137.5,220.0,557.5,335.27,Petter Larsson,Borlänge AK,Södra Norrlands SDF,M,2019.0,105,False
Div 1 herr KL BP,2019-05-11,KBP,96.3,0.0,120.0,0.0,120.0,74.19,Petter Larsson,Borlänge AK,Södra Norrlands SDF,M,2019.0,105,False
Enbart ranking herr KL SL,2019-05-05,KSL,73.3,150.0,110.0,160.0,420.0,304.17,Roberd Palm,Mascot Atletklubb,Västra Götaland SDF,M,2019.0,74,False
Enbart ranking Herr SL klassisk,2022-02-05,KSL,82.3,185.0,140.0,220.0,545.0,365.63,Emil Nilsson,Västerviks AK,Sydöstra SDF,M,2022.0,83,False
DM Styrkelyft klassisk SÖSF,2021-10-23,KSL,82.0,185.0,135.0,232.5,552.5,371.48,Emil Nilsson,Västerviks AK,Sydöstra SDF,M,2021.0,83,False
Div 3 herr KL SL,2019-09-14,KSL,80.2,150.0,102.5,205.0,457.5,311.84,Emil Nilsson,Västerviks AK,Sydöstra SDF,M,2019.0,83,False
Div 3 herr KL SL,2019-05-11,KSL,81.7,157.5,100.0,205.0,462.5,311.66,Emil Nilsson,Västerviks AK,Sydöstra SDF,M,2019.0,83,False
Div 1 dam SL klassisk,2020-01-18,KSL,77.0,115.0,60.0,127.5,302.5,282.97,Olivia Peterson,Växjö AK,Sydöstra SDF,F,2020.0,84,False
Div 2 dam KL SL,2019-05-05,KSL,77.95,105.0,55.0,110.0,270.0,250.74,Olivia Peterson,Växjö AK,Sydöstra SDF,F,2019.0,84,False
Div 4 herr KL SL,2019-09-14,KSL,72.9,167.5,105.0,200.0,472.5,343.54,Marcus Hjelmgren,Växjö AK,Sydöstra SDF,M,2019.0,74,False
Div 4 herr KL SL,2019-05-05,KSL,73.7,150.0,105.0,190.0,445.0,321.02,Marcus Hjelmgren,Växjö AK,Sydöstra SDF,M,2019.0,74,False
U/J SM Bänkpress klassisk,2022-05-08,KBP,117.8,0.0,140.0,0.0,140.0,80.85,Dante Norling,Huddinge SK,Östra Svealands SDF,M,2022.0,120,True
U/J SM Styrkelyft klassisk,2022-05-07,KSL,117.1,200.0,140.0,220.0,560.0,323.87,Dante Norling,Huddinge SK,Östra Svealands SDF,M,2022.0,120,True
Enbart ranking Herr SL klassisk,2022-02-13,KSL,117.2,185.0,140.0,225.0,550.0,318.01,Dante Norling,Huddinge SK,Östra Svealands SDF,M,2022.0,120,False
Enbart ranking herr SL klassisk,2021-12-01,KSL,114.0,202.5,125.0,220.0,547.5,318.88,Dante Norling,Huddinge SK,Östra Svealands SDF,M,2021.0,120,False
"DM Styrkelyft klassisk U,J,S ÖSSF",2021-10-10,KSL,113.15,200.0,140.0,220.0,560.0,326.84,Dante Norling,Huddinge SK,Östra Svealands SDF,M,2021.0,120,False
Enbart ranking herr SL klassisk,2021-09-11,KSL,115.55,195.0,135.0,210.0,540.0,313.37,Dante Norling,Huddinge SK,Östra Svealands SDF,M,2021.0,120,False
Div 5 herr SL klassisk,2020-09-19,KSL,101.6,160.0,112.5,200.0,472.5,285.78,Dante Norling,Huddinge SK,Östra Svealands SDF,M,2020.0,105,False
Ungdoms SM Klassisk Styrkelyft,2020-02-14,KSL,96.33,150.0,100.0,155.0,405.0,250.37,Dante Norling,Huddinge SK,Östra Svealands SDF,M,2020.0,105,True
DM Klassisk Styrkelyft ÖSSF,2019-11-16,KSL,89.85,135.0,82.5,160.0,377.5,241.2,Dante Norling,Huddinge SK,Östra Svealands SDF,M,2019.0,93,False
Enbart ranking herr KL SL,2019-09-15,KSL,88.5,120.0,80.0,155.0,355.0,228.61,Dante Norling,Huddinge SK,Östra Svealands SDF,M,2019.0,93,False
Enbart ranking herr KL SL,2019-05-04,KSL,86.85,105.0,67.5,140.0,312.5,203.28,Dante Norling,Huddinge SK,Östra Svealands SDF,M,2019.0,93,False
Enbart ranking herr KL SL,2019-09-24,KSL,102.75,160.0,135.0,225.0,520.0,313.17,Tobias Granlund,Become an Athlete Styrkesällskap,Östra Svealands SDF,M,2019.0,105,False
Enbart ranking herr BP klassisk,2021-10-23,KBP,115.75,0.0,142.5,0.0,142.5,82.66,Axel Cettner,Luleå AK,Norra Norrlands SDF,M,2021.0,120,False
Div 2 herr KL SL,2019-05-12,KSL,131.05,210.0,132.5,200.0,542.5,306.4,Axel Cettner,Luleå AK,Norra Norrlands SDF,M,2019.0,121,False
Enbart ranking herr KL BP,2019-05-12,KBP,81.02,0.0,90.0,0.0,90.0,60.96,Joel Bylund,Kiruna AK,Norra Norrlands SDF,M,2019.0,83,False
Div 5 herr SL klassisk,2020-09-12,KSL,79.43,150.0,115.0,210.0,475.0,325.76,Kevin Haidari,Härnösands AK,Mellersta Norrlands SDF,M,2020.0,83,False
Enbart ranking herr SL klassisk,2020-02-01,KSL,77.32,160.0,110.0,0.0,270.0,188.44,Kevin Haidari,Härnösands AK,Mellersta Norrlands SDF,M,2020.0,83,False
DM Klassisk Styrkelyft MNSF,2019-11-09,KSL,76.26,160.0,110.0,217.5,487.5,343.42,Kevin Haidari,Härnösands AK,Mellersta Norrlands SDF,M,2019.0,83,False
Enbart ranking herr KL SL,2019-05-12,KSL,77.2,155.0,110.0,215.0,480.0,335.36,Kevin Haidari,Härnösands AK,Mellersta Norrlands SDF,M,2019.0,83,False
U/J SM Bänkpress klassisk,2022-05-08,KBP,58.5,0.0,90.0,0.0,90.0,78.58,Mario Michael Langva Selberg,Sundsvalls AK,Mellersta Norrlands SDF,M,2022.0,66,True
Norrländska mästerskapen Bänkpress klassisk,2022-04-10,KBP,57.2,0.0,85.0,0.0,85.0,75.81,Mario Michael Langva Selberg,Sundsvalls AK,Mellersta Norrlands SDF,M,2022.0,66,False
Enbart ranking herr BP klassisk,2021-12-19,KBP,55.86,0.0,75.0,0.0,75.0,68.44,Mario Michael Langva Selberg,Sundsvalls AK,Mellersta Norrlands SDF,M,2021.0,66,False
Enbart ranking herr BP utrustat,2021-12-16,BP,55.44,,67.5,,,62.06,Mario Michael Langva Selberg,Sundsvalls AK,Mellersta Norrlands SDF,M,2021.0,66,False
Enbart ranking herr BP klassisk,2021-09-02,KBP,57.3,0.0,72.5,0.0,72.5,64.55,Mario Michael Langva Selberg,Sundsvalls AK,Mellersta Norrlands SDF,M,2021.0,66,False
Enbart ranking herr SL klassisk,2020-02-02,KSL,43.64,55.0,42.5,67.5,165.0,197.41,Mario Michael Langva Selberg,Sundsvalls AK,Mellersta Norrlands SDF,M,2020.0,66,False
Enbart ranking herr KL SL,2019-11-14,KSL,42.28,48.0,36.0,66.0,150.0,186.61,Mario Michael Langva Selberg,Sundsvalls AK,Mellersta Norrlands SDF,M,2019.0,66,False
Enbart ranking herr KL SL,2019-09-12,KSL,43.85,42.5,30.0,56.0,128.5,152.85,Mario Michael Langva Selberg,Sundsvalls AK,Mellersta Norrlands SDF,M,2019.0,66,False
Enbart ranking herr KL BP,2019-05-09,KBP,39.4,0.0,27.5,0.0,27.5,37.46,Mario Michael Langva Selberg,Sundsvalls AK,Mellersta Norrlands SDF,M,2019.0,66,False
Enbart ranking herr KL SL,2019-05-02,KSL,39.18,34.0,28.0,50.0,112.0,153.71,Mario Michael Langva Selberg,Sundsvalls AK,Mellersta Norrlands SDF,M,2019.0,66,False
Enbart ranking herr KL BP,2019-05-05,KBP,65.5,0.0,105.0,0.0,105.0,82.96,Jonas  Hellentin,Lerums AK,Västra Götaland SDF,M,2019.0,66,False
Elitserien herr KL SL,2019-11-13,KSL,102.75,240.0,167.5,282.5,690.0,415.55,Linus Gustafsson,Vedum AIS,Västra Götaland SDF,M,2019.0,105,False
Elitserien herr KL SL,2019-09-15,KSL,102.45,240.0,165.0,275.0,680.0,409.98,Linus Gustafsson,Vedum AIS,Västra Götaland SDF,M,2019.0,105,False
Elitserien herr KL SL,2019-05-13,KSL,92.7,220.0,150.0,260.0,630.0,396.37,Linus Gustafsson,Vedum AIS,Västra Götaland SDF,M,2019.0,93,False
Götalandsmästerskapen Styrkelyft klassisk,2022-04-09,KSL,71.7,115.0,67.5,160.0,342.5,335.23,Emma Lenander,Göteborgs KK,Västra Götaland SDF,F,2022.0,76,False
DM Styrkelyft klassisk VGSF,2021-10-22,KSL,68.3,117.5,65.0,155.0,337.5,341.58,Emma Lenander,Göteborgs KK,Västra Götaland SDF,F,2021.0,69,False
DM Klassisk Styrkelyft SSSF,2019-11-16,KSL,71.25,120.0,60.0,150.0,330.0,324.36,Emma Lenander,Göteborgs KK,Västra Götaland SDF,F,2019.0,76,False
Allsvenskan dam KL SL,2019-09-15,KSL,71.3,115.0,60.0,142.5,317.5,311.93,Emma Lenander,Göteborgs KK,Västra Götaland SDF,F,2019.0,76,False
Allsvenskan dam KL BP,2019-05-05,KBP,70.15,0.0,55.0,0.0,55.0,54.64,Emma Lenander,Göteborgs KK,Västra Götaland SDF,F,2019.0,76,False
Allsvenskan dam KL BP,2019-05-05,KBP,67.55,0.0,60.0,0.0,60.0,61.2,Sara Hult,Lunds TK,Sydsvenska SDF,F,2019.0,69,False
Allsvenskan herr KL SL,2019-11-18,KSL,83.35,147.5,95.0,207.5,450.0,299.63,Vinzent Lenander,Lunds TK,Sydsvenska SDF,M,2019.0,93,False
Div 1 herr KL BP,2019-05-05,KBP,79.8,0.0,95.0,0.0,95.0,64.96,Vinzent Lenander,Lunds TK,Sydsvenska SDF,M,2019.0,83,False
Götalandsmästerskapen Styrkelyft klassisk,2022-04-09,KSL,106.1,185.0,107.5,202.5,495.0,294.73,Andreas Berg,Lunds TK,Sydsvenska SDF,M,2022.0,120,False
DM i Styrkelyft klassisk SSSF,2021-10-16,KSL,107.4,182.5,102.5,207.5,492.5,292.04,Andreas Berg,Lunds TK,Sydsvenska SDF,M,2021.0,120,False
Allsvenskan herr SL klassisk,2020-02-02,KSL,103.85,160.0,100.0,200.0,460.0,275.96,Andreas Berg,Lunds TK,Sydsvenska SDF,M,2020.0,105,False
Allsvenskan herr KL SL,2019-11-18,KSL,101.7,150.0,100.0,192.5,442.5,267.53,Andreas Berg,Lunds TK,Sydsvenska SDF,M,2019.0,105,False
Allsvenskan herr KL SL,2019-09-15,KSL,102.49,142.5,95.0,192.5,430.0,259.21,Andreas Berg,Lunds TK,Sydsvenska SDF,M,2019.0,105,False
Div 1 herr KL BP,2019-05-05,KBP,101.15,0.0,97.5,0.0,97.5,59.07,Andreas Berg,Lunds TK,Sydsvenska SDF,M,2019.0,105,False
Ungdoms SM Klassisk Bänkpress,2020-02-14,KBP,58.96,0.0,85.0,0.0,85.0,73.67,Axel Lagerstedt,Höllviken Kraftsportklubb,Sydsvenska SDF,M,2020.0,66,True
DM Klassisk Styrkelyft SSSF,2019-11-16,KSL,57.5,110.0,90.0,135.0,335.0,297.28,Axel Lagerstedt,Höllviken Kraftsportklubb,Sydsvenska SDF,M,2019.0,66,False
Div 2 herr KL SL,2019-09-17,KSL,55.81,100.0,85.5,125.0,310.5,283.61,Axel Lagerstedt,Höllviken Kraftsportklubb,Sydsvenska SDF,M,2019.0,66,False
DM Klassisk Bänkpress SSSF,2019-09-07,KBP,56.1,0.0,90.0,0.0,90.0,81.79,Axel Lagerstedt,Höllviken Kraftsportklubb,Sydsvenska SDF,M,2019.0,66,False
Div 2 herr KL BP,2019-05-06,KBP,55.63,0.0,72.5,0.0,72.5,66.43,Axel Lagerstedt,Höllviken Kraftsportklubb,Sydsvenska SDF,M,2019.0,66,False
Div 2 herr KL BP,2019-05-06,KBP,59.11,0.0,35.0,0.0,35.0,39.48,Victoria Österling,Formtoppen Atletklubb,Sydsvenska SDF,M,2019.0,66,False
SM Junior & Ungdom Styrkelyft klassisk,2021-11-18,KSL,80.85,145.0,80.0,160.0,385.0,350.24,Frida Samuelsson,Väsby Atletklubb,Östra Svealands SDF,F,2021.0,84,True
Enbart ranking dam SL klassisk,2021-09-18,KSL,81.7,147.5,82.5,170.0,400.0,361.84,Frida Samuelsson,Väsby Atletklubb,Östra Svealands SDF,F,2021.0,84,False
Ungdoms SM Klassisk Styrkelyft,2020-02-14,KSL,80.43,137.5,65.0,152.5,355.0,323.87,Frida Samuelsson,Väsby Atletklubb,Östra Svealands SDF,F,2020.0,84,True
Enbart ranking dam KL BP,2019-11-18,KBP,78.84,0.0,60.0,0.0,60.0,55.36,Frida Samuelsson,Väsby Atletklubb,Östra Svealands SDF,F,2019.0,84,False
DM Klassisk Styrkelyft ÖSSF,2019-11-16,KSL,78.84,130.0,62.5,142.5,335.0,309.07,Frida Samuelsson,Väsby Atletklubb,Östra Svealands SDF,F,2019.0,84,False
Div 1 dam KL BP,2019-09-15,KBP,75.0,0.0,62.5,0.0,62.5,59.42,Frida Samuelsson,Väsby Atletklubb,Östra Svealands SDF,F,2019.0,76,False
Div 1 dam KL BP,2019-05-05,KBP,77.3,0.0,65.0,0.0,65.0,60.66,Frida Samuelsson,Väsby Atletklubb,Östra Svealands SDF,F,2019.0,84,False
Ungdoms SM Klassisk Styrkelyft,2020-02-14,KSL,57.88,120.0,62.5,132.5,315.0,277.79,Filip Hemmingsson,Skurup KF,Sydsvenska SDF,M,2020.0,66,True
Div 2 herr BP klassisk,2020-02-03,KBP,57.45,0.0,60.0,0.0,60.0,53.29,Filip Hemmingsson,Skurup KF,Sydsvenska SDF,M,2020.0,66,False
Ungdomsserien herr SL klassisk,2020-01-20,KSL,57.45,107.5,60.0,112.5,280.0,248.68,Filip Hemmingsson,Skurup KF,Sydsvenska SDF,M,2020.0,66,False
Div 2 herr KL SL,2019-11-18,KSL,57.1,117.5,62.5,130.0,310.0,276.94,Filip Hemmingsson,Skurup KF,Sydsvenska SDF,M,2019.0,66,False
Div 2 herr KL SL,2019-09-14,KSL,55.6,110.0,57.5,120.0,287.5,263.57,Filip Hemmingsson,Skurup KF,Sydsvenska SDF,M,2019.0,66,False
DM Klassisk Bänkpress SSSF,2019-09-07,KBP,56.95,0.0,57.5,0.0,57.5,51.5,Filip Hemmingsson,Skurup KF,Sydsvenska SDF,M,2019.0,66,False
Div 2 herr KL SL,2019-05-05,KSL,57.0,82.5,55.0,102.5,240.0,214.77,Filip Hemmingsson,Skurup KF,Sydsvenska SDF,M,2019.0,66,False
DM Klassisk Styrkelyft VGSF,2019-11-08,KSL,61.9,130.0,72.5,132.5,335.0,364.63,Minna Kristiansson,Fysiken AK,Västra Götaland SDF,F,2019.0,63,False
Enbart ranking dam KL SL,2019-05-05,KSL,61.5,125.0,70.0,120.0,315.0,344.57,Minna Kristiansson,Fysiken AK,Västra Götaland SDF,F,2019.0,63,False
DM Bänkpress Klassisk VGSF,2020-09-19,KBP,56.4,0.0,75.0,0.0,75.0,87.75,Elin Bengtsson,Fysiken AK,Västra Götaland SDF,F,2020.0,57,False
Enbart ranking dam BP klassisk,2020-02-02,KBP,55.2,0.0,70.0,0.0,70.0,83.3,Elin Bengtsson,Fysiken AK,Västra Götaland SDF,F,2020.0,57,False
DM Klassisk Bänkpress VGSF,2019-09-07,KBP,54.0,0.0,67.5,0.0,67.5,81.72,Elin Bengtsson,Fysiken AK,Västra Götaland SDF,F,2019.0,57,False
Enbart ranking dam KL BP,2019-05-05,KBP,54.2,0.0,62.5,0.0,62.5,75.44,Elin Bengtsson,Fysiken AK,Västra Götaland SDF,F,2019.0,57,False
Div 2 herr KL BP,2019-09-15,KBP,87.2,0.0,100.0,0.0,100.0,64.91,Andreas Solvin,Väsby Atletklubb,Östra Svealands SDF,M,2019.0,93,False
Div 2 herr KL BP,2019-05-05,KBP,85.0,0.0,95.0,0.0,95.0,62.54,Andreas Solvin,Väsby Atletklubb,Östra Svealands SDF,M,2019.0,93,False
Enbart ranking dam SL klassisk,2020-09-20,KSL,72.4,132.5,82.5,150.0,365.0,354.95,Virginia Eriksson viratanagasam,Become an Athlete Styrkesällskap,Östra Svealands SDF,F,2020.0,76,False
DM Klassisk Styrkelyft ÖSSF,2019-11-16,KSL,71.4,145.0,77.5,145.0,367.5,360.71,Virginia Eriksson viratanagasam,Become an Athlete Styrkesällskap,Östra Svealands SDF,F,2019.0,76,False
Enbart ranking dam KL SL,2019-09-24,KSL,71.7,137.5,77.5,150.0,365.0,357.25,Virginia Eriksson viratanagasam,Become an Athlete Styrkesällskap,Östra Svealands SDF,F,2019.0,76,False
Elitserien dam SL klassisk,2020-02-01,KSL,51.35,97.5,55.0,125.0,277.5,349.31,Maria Qvarnström,Sundbybergs TK,Östra Svealands SDF,F,2020.0,52,False
Elitserien dam KL SL,2019-09-14,KSL,54.9,95.0,50.0,107.5,252.5,301.75,Maria Qvarnström,Sundbybergs TK,Östra Svealands SDF,F,2019.0,57,False
Elitserien dam KL SL,2019-05-05,KSL,52.8,97.5,52.5,117.5,267.5,329.55,Maria Qvarnström,Sundbybergs TK,Östra Svealands SDF,F,2019.0,57,False
Enbart ranking Herr SL klassisk,2022-04-18,KSL,103.0,175.0,135.0,210.0,520.0,312.89,Björn Blomberg,TK Trossö,Sydsvenska SDF,M,2022.0,105,False
Enbart ranking herr SL klassisk,2021-12-11,KSL,100.95,150.0,135.0,210.0,495.0,300.13,Björn Blomberg,TK Trossö,Sydsvenska SDF,M,2021.0,105,False
Enbart ranking herr SL klassisk,2021-09-11,KSL,96.2,150.0,125.0,210.0,485.0,300.0,Björn Blomberg,TK Trossö,Sydsvenska SDF,M,2021.0,105,False
Enbart ranking herr SL klassisk,2020-09-04,KSL,107.45,165.0,130.0,200.0,495.0,293.48,Björn Blomberg,TK Trossö,Sydsvenska SDF,M,2020.0,120,False
Enbart ranking herr KL BP,2019-11-09,KBP,98.5,0.0,115.0,0.0,115.0,70.42,Björn Blomberg,TK Trossö,Sydsvenska SDF,M,2019.0,105,False
Enbart ranking herr KL SL,2019-05-04,KSL,110.1,155.0,120.0,170.0,445.0,261.81,Björn Blomberg,TK Trossö,Sydsvenska SDF,M,2019.0,120,False
Div 4 herr KL SL,2019-05-05,KSL,92.35,180.0,130.0,220.0,530.0,334.06,Thom Andersson,Växjö AK,Sydöstra SDF,M,2019.0,93,False
U/J SM Bänkpress klassisk,2022-05-08,KBP,103.8,0.0,162.5,0.0,162.5,97.5,Hannes Aldebert,Växjö AK,Sydöstra SDF,M,2022.0,105,True
Enbart ranking Herr BP klassisk,2022-04-18,KBP,104.0,0.0,162.5,0.0,162.5,97.43,Hannes Aldebert,Växjö AK,Sydöstra SDF,M,2022.0,105,False
Enbart ranking herr BP klassisk,2021-12-02,KBP,103.0,0.0,152.5,0.0,152.5,91.76,Hannes Aldebert,Växjö AK,Sydöstra SDF,M,2021.0,105,False
DM Styrkelyft klassisk SÖSF,2021-10-23,KSL,102.6,200.0,162.5,210.0,572.5,344.98,Hannes Aldebert,Växjö AK,Sydöstra SDF,M,2021.0,105,False
